Folder,File,tcoffee,tcoffeeSP,tcoffeeTC,clustalw,clustalwSP,clustalwTC,muscle,muscleSP,muscleTC
RV11, BB11001.msf, tcoffee, 0.862, 0.770, clustalw, 0.961, 0.920, muscle, 0.904, 0.850
RV11, BB11002.msf, tcoffee, 0.537, 0.000, clustalw, 0.435, 0.000, muscle, 0.572, 0.270
RV11, BB11003.msf, tcoffee, 0.612, 0.430, clustalw, 0.609, 0.420, muscle, 0.561, 0.390
RV11, BB11004.msf, tcoffee, 0.625, 0.450, clustalw, 0.196, 0.000, muscle, 0.600, 0.420
RV11, BB11005.msf, tcoffee, 0.491, 0.140, clustalw, 0.377, 0.110, muscle, 0.381, 0.010
RV11, BB11006.msf, tcoffee, 0.409, 0.180, clustalw, 0.250, 0.000, muscle, 0.307, 0.070
RV11, BB11007.msf, tcoffee, 0.677, 0.420, clustalw, 0.557, 0.260, muscle, 0.593, 0.390
RV11, BB11008.msf, tcoffee, 0.541, 0.430, clustalw, 0.478, 0.410, muscle, 0.393, 0.230
RV11, BB11009.msf, tcoffee, 0.265, 0.000, clustalw, 0.295, 0.000, muscle, 0.316, 0.000
RV11, BB11010.msf, tcoffee, 0.354, 0.170, clustalw, 0.201, 0.000, muscle, 0.245, 0.060
RV11, BB11011.msf, tcoffee, 0.264, 0.160, clustalw, 0.198, 0.070, muscle, 0.145, 0.000
RV11, BB11012.msf, tcoffee, 0.925, 0.880, clustalw, 0.910, 0.850, muscle, 0.869, 0.770
RV11, BB11013.msf, tcoffee, 0.143, 0.000, clustalw, 0.084, 0.000, muscle, 0.076, 0.000
RV11, BB11014.msf, tcoffee, 0.798, 0.660, clustalw, 0.707, 0.530, muscle, 0.756, 0.600
RV11, BB11015.msf, tcoffee, 0.677, 0.480, clustalw, 0.654, 0.430, muscle, 0.828, 0.750
RV11, BB11016.msf, tcoffee, 0.496, 0.090, clustalw, 0.367, 0.000, muscle, 0.407, 0.000
RV11, BB11017.msf, tcoffee, 0.790, 0.700, clustalw, 0.653, 0.480, muscle, 0.732, 0.610
RV11, BB11018.msf, tcoffee, 0.674, 0.330, clustalw, 0.440, 0.150, muscle, 0.532, 0.230
RV11, BB11019.msf, tcoffee, 0.687, 0.210, clustalw, 0.505, 0.090, muscle, 0.646, 0.220
RV11, BB11020.msf, tcoffee, 0.693, 0.320, clustalw, 0.652, 0.320, muscle, 0.592, 0.300
RV11, BB11021.msf, tcoffee, 0.694, 0.530, clustalw, 0.173, 0.000, muscle, 0.562, 0.450
RV11, BB11022.msf, tcoffee, 0.082, 0.000, clustalw, 0.251, 0.000, muscle, 0.073, 0.000
RV11, BB11023.msf, tcoffee, 0.508, 0.250, clustalw, 0.373, 0.150, muscle, 0.420, 0.130
RV11, BB11024.msf, tcoffee, 0.474, 0.220, clustalw, 0.173, 0.000, muscle, 0.197, 0.000
RV11, BB11025.msf, tcoffee, 0.173, 0.000, clustalw, 0.118, 0.000, muscle, 0.092, 0.000
RV11, BB11026.msf, tcoffee, 0.225, 0.000, clustalw, 0.250, 0.000, muscle, 0.305, 0.000
RV11, BB11027.msf, tcoffee, 0.433, 0.150, clustalw, 0.253, 0.000, muscle, 0.380, 0.170
RV11, BB11028.msf, tcoffee, 0.563, 0.000, clustalw, 0.476, 0.000, muscle, 0.402, 0.000
RV11, BB11029.msf, tcoffee, 0.505, 0.430, clustalw, 0.505, 0.460, muscle, 0.432, 0.330
RV11, BB11030.msf, tcoffee, 0.629, 0.210, clustalw, 0.337, 0.110, muscle, 0.452, 0.100
RV11, BB11031.msf, tcoffee, 0.582, 0.200, clustalw, 0.287, 0.000, muscle, 0.366, 0.000
RV11, BB11032.msf, tcoffee, 0.728, 0.410, clustalw, 0.520, 0.160, muscle, 0.630, 0.300
RV11, BB11033.msf, tcoffee, 0.467, 0.000, clustalw, 0.456, 0.000, muscle, 0.367, 0.000
RV11, BB11034.msf, tcoffee, 0.512, 0.110, clustalw, 0.277, 0.000, muscle, 0.419, 0.000
RV11, BB11035.msf, tcoffee, 0.508, 0.340, clustalw, 0.468, 0.300, muscle, 0.592, 0.430
RV11, BB11036.msf, tcoffee, 0.575, 0.240, clustalw, 0.480, 0.130, muscle, 0.538, 0.130
RV11, BB11037.msf, tcoffee, 0.513, 0.300, clustalw, 0.364, 0.110, muscle, 0.333, 0.120
RV11, BB11038.msf, tcoffee, 0.809, 0.610, clustalw, 0.485, 0.000, muscle, 0.664, 0.360
RV11, BBS11001.msf, tcoffee, 0.934, 0.890, clustalw, 0.974, 0.940, muscle, 0.993, 0.980
RV11, BBS11002.msf, tcoffee, 0.828, 0.480, clustalw, 0.731, 0.420, muscle, 0.715, 0.480
RV11, BBS11003.msf, tcoffee, 0.723, 0.540, clustalw, 0.605, 0.380, muscle, 0.695, 0.510
RV11, BBS11004.msf, tcoffee, 0.645, 0.480, clustalw, 0.449, 0.200, muscle, 0.561, 0.410
RV11, BBS11005.msf, tcoffee, 0.518, 0.170, clustalw, 0.401, 0.120, muscle, 0.476, 0.160
RV11, BBS11006.msf, tcoffee, 0.526, 0.220, clustalw, 0.434, 0.240, muscle, 0.380, 0.000
RV11, BBS11007.msf, tcoffee, 0.751, 0.530, clustalw, 0.638, 0.340, muscle, 0.662, 0.440
RV11, BBS11008.msf, tcoffee, 0.676, 0.550, clustalw, 0.606, 0.500, muscle, 0.556, 0.420
RV11, BBS11009.msf, tcoffee, 0.831, 0.740, clustalw, 0.767, 0.670, muscle, 0.812, 0.730
RV11, BBS11010.msf, tcoffee, 0.607, 0.450, clustalw, 0.276, 0.000, muscle, 0.498, 0.330
RV11, BBS11011.msf, tcoffee, 0.450, 0.310, clustalw, 0.324, 0.190, muscle, 0.439, 0.230
RV11, BBS11012.msf, tcoffee, 0.925, 0.880, clustalw, 0.890, 0.810, muscle, 0.889, 0.820
RV11, BBS11013.msf, tcoffee, 0.643, 0.570, clustalw, 0.820, 0.570, muscle, 0.686, 0.260
RV11, BBS11014.msf, tcoffee, 0.813, 0.680, clustalw, 0.708, 0.520, muscle, 0.768, 0.600
RV11, BBS11015.msf, tcoffee, 0.744, 0.600, clustalw, 0.658, 0.440, muscle, 0.791, 0.660
RV11, BBS11016.msf, tcoffee, 0.623, 0.360, clustalw, 0.457, 0.140, muscle, 0.564, 0.270
RV11, BBS11017.msf, tcoffee, 0.800, 0.720, clustalw, 0.654, 0.480, muscle, 0.757, 0.630
RV11, BBS11018.msf, tcoffee, 0.666, 0.360, clustalw, 0.474, 0.160, muscle, 0.567, 0.300
RV11, BBS11019.msf, tcoffee, 0.705, 0.230, clustalw, 0.502, 0.070, muscle, 0.646, 0.180
RV11, BBS11020.msf, tcoffee, 0.748, 0.380, clustalw, 0.681, 0.260, muscle, 0.793, 0.580
RV11, BBS11021.msf, tcoffee, 0.796, 0.630, clustalw, 0.602, 0.380, muscle, 0.712, 0.580
RV11, BBS11022.msf, tcoffee, 0.640, 0.420, clustalw, 0.868, 0.730, muscle, 0.895, 0.780
RV11, BBS11023.msf, tcoffee, 0.560, 0.320, clustalw, 0.358, 0.050, muscle, 0.485, 0.250
RV11, BBS11024.msf, tcoffee, 0.499, 0.240, clustalw, 0.399, 0.180, muscle, 0.487, 0.350
RV11, BBS11025.msf, tcoffee, 0.533, 0.370, clustalw, 0.275, 0.070, muscle, 0.565, 0.370
RV11, BBS11026.msf, tcoffee, 0.466, 0.130, clustalw, 0.496, 0.110, muscle, 0.505, 0.220
RV11, BBS11027.msf, tcoffee, 0.493, 0.200, clustalw, 0.308, 0.110, muscle, 0.480, 0.150
RV11, BBS11028.msf, tcoffee, 0.804, 0.660, clustalw, 0.738, 0.570, muscle, 0.792, 0.600
RV11, BBS11029.msf, tcoffee, 0.583, 0.510, clustalw, 0.520, 0.480, muscle, 0.540, 0.460
RV11, BBS11030.msf, tcoffee, 0.767, 0.390, clustalw, 0.586, 0.110, muscle, 0.634, 0.050
